code;isin;date;coursPrecedent;coursJour;coursReference;cleanPrice;couponCouru;dirtyPrice;volume;valeurTransigee
TPCI.O80;CI0000006383;2026-01-02;9600;;9600;9600;378.08;9978.08;0;0
TPCI.O81;CI0000006680;2026-01-02;10500;;10500;10500;250.55;10750.55;0;0
TPCI.O82;CI0000006698;2026-01-02;10000;;10000;10000;254.79;10254.79;0;0
TPCI.O83;CI0000006904;2026-01-02;10000;;10000;10000;132.55;10132.55;0;0
TPCI.O84;CI0000006912;2026-01-02;10000;;10000;10000;134.79;10134.79;0;0
TPCI.O85;CI0000007142;2026-01-02;10000;;10000;10000;30.71;10030.71;0;0
TPCI.O86;CI0000007159;2026-01-02;9999;;9999;9999;31.23;10030.23;0;0
TPCI.O87;CI0000007357;2026-01-02;9715;9715;9715;9715;457.45;10172.45;5834;56677310
TPCI.O88;CI0000007365;2026-01-02;10750;;10750;10750;465.21;11215.21;0;0
TPCI.O89;CI0000007696;2026-01-02;12100;;12100;12100;269.95;12369.95;0;0
TPCI.O90;CI0000007704;2026-01-02;10000;;10000;10000;274.52;10274.52;0;0
TPCI.O91;CI0000007878;2026-01-02;10000;;10000;10000;208.52;10208.52;0;0
TPCI.O92;CI0000007886;2026-01-02;10000;;10000;10000;212.05;10212.05;0;0
TPCI.O93;CI0000008397;2026-01-02;9700;;9700;9700;71.12;9771.12;0;0
TPCI.O94;CI0000008405;2026-01-02;10000;;10000;10000;72.33;10072.33;0;0
TPCI.O95;CI0000008868;2026-01-02;10000;;10000;10000;488.16;10488.16;0;0
TPCI.O96;CI0000008876;2026-01-02;9600;;9600;9600;496.44;10096.44;0;0
TPNE.O1;;2026-01-02;9795;;9795;9795;498.63;10293.63;0;0
TPNE.O10;NE0000002417;2026-01-02;9800;;9800;9800;569.59;10369.59;0;0
TPNE.O2;NE0000000940;2026-01-02;9160;;9160;9160;274.25;9434.25;0;0
TPNE.O3;NE0000001088;2026-01-02;4000;;4000;4000;110.41;4110.41;0;0
TPNE.O4;NE0000001344;2026-01-02;7500;;7500;7500;169.58;7669.58;0;0
TPNE.O5;NE0000001492;2026-01-02;10000;;10000;10000;358.89;10358.89;0;0
TPNE.O6;NE0000001625;2026-01-02;9000;;9000;9000;28.81;9028.81;0;0
TPNE.O7;NE0000001914;2026-01-02;7500;;7500;7500;247.86;7747.86;0;0
TPNE.O8;NE0000002326;2026-01-02;9500;;9500;9500;650.96;10150.96;0;0
TPTG.O2;TG0000001890;2026-01-02;10000;;10000;10000;77.26;10077.26;0;0
TPTG.O3;TG0000003235;2026-01-02;9725;;9725;9725;533.67;10258.67;0;0
TPTG.O4;TG0000003243;2026-01-02;10000;;10000;10000;546.08;10546.08;0;0
BABS.O1;SN0000003484;2026-01-05;10000;;10000;10000;127.84;10127.84;0;0
BIDC.O4;TG0000000934;2026-01-05;2500;;2500;2500;84.82;2584.82;0;0
BIDC.O5;TG0000001304;2026-01-05;10750;;10750;10750;155.18;10905.18;0;0
BIDC.O6;TG0000001585;2026-01-05;5370;;5370;5370;42.74;5412.74;0;0
BIDC.O7;TG0000001833;2026-01-05;7000;;7000;7000;30.55;7030.55;0;0
BIDC.O8;TG0000003011;2026-01-05;9900;;9900;9900;284.58;10184.58;0;0
CRRH.O10;TG0000002070;2026-01-05;10000;;10000;10000;256.93;10256.93;0;0
CRRH.O11;TG0000003326;2026-01-05;10000;;10000;10000;52.6;10052.6;0;0
CRRH.O6;TG0000000801;2026-01-05;10000;;10000;10000;3.23;10003.23;0;0
CRRH.O7;TG0000000991;2026-01-05;3333;;3333;3333;26.85;3359.85;0;0
CRRH.O8;TG0000001213;2026-01-05;4000;;4000;4000;10.22;4010.22;0;0
CRRH.O9;TG0000001221;2026-01-05;5333;;5333;5333;13.3;5346.3;0;0
ECOC.O1;CI0000008439;2026-01-05;10000;;10000;10000;521.82;10521.82;0;0
EOM.O10;ML0000002120;2026-01-05;10000;;10000;10000;45.86;10045.86;0;0
EOM.O11;ML0000002369;2026-01-05;10000;;10000;10000;94.69;10094.69;0;0
EOM.O12;ML0000002542;2026-01-05;10000;;10000;10000;286.71;10286.71;0;0
EOM.O13;ML0000002930;2026-01-05;10000;;10000;10000;489.73;10489.73;0;0
EOM.O14;ML0000003193;2026-01-05;10000;;10000;10000;129.04;10129.04;0;0
EOM.O15;ML0000003318;2026-01-05;10000;;10000;10000;131.0;10131.0;0;0
EOM.O16;ML0000003326;2026-01-05;10000;;10000;10000;127.0;10127.0;0;0
EOM.O17;ML0000003573;2026-01-05;10000;;10000;10000;507.85;10507.85;0;0
EOM.O18;ML0000003581;2026-01-05;10000;;10000;10000;492.34;10492.34;0;0
EOM.O19;ML0000003870;2026-01-05;10000;;10000;10000;256.62;10256.62;0;0
EOM.O20;ML0000003888;2026-01-05;10000;;10000;10000;248.78;10248.78;0;0
EOM.O4;ML0000001197;2026-01-05;4000;;4000;4000;126.08;4126.08;0;0
EOM.O5;ML0000001312;2026-01-05;6000;;6000;6000;303.45;6303.45;0;0
EOM.O6;ML0000001544;2026-01-05;4000;;4000;4000;25.0;4025.0;0;0
EOM.O7;ML0000001668;2026-01-05;7500;;7500;7500;352.6;7852.6;0;0
EOM.O8;ML0000001932;2026-01-05;10000;;10000;10000;203.84;10203.84;0;0
EOM.O9;ML0000002112;2026-01-05;9800;;9800;9800;46.6;9846.6;0;0
EOS.O10;SN0000002403;2026-01-05;10000;;10000;10000;166.49;10166.49;0;0
EOS.O11;SN0000002411;2026-01-05;10000;;10000;10000;171.91;10171.91;0;0
EOS.O12;SN0000002726;2026-01-05;10000;;10000;10000;240.65;10240.65;0;0
EOS.O13;SN0000002734;2026-01-05;10000;;10000;10000;246.52;10246.52;0;0
EOS.O14;SN0000002742;2026-01-05;10000;;10000;10000;254.35;10254.35;0;0
EOS.O15;SN0000002916;2026-01-05;10000;;10000;10000;253.06;10253.06;0;0
EOS.O16;SN0000002924;2026-01-05;10000;;10000;10000;261.15;10261.15;0;0
EOS.O17;SN0000002932;2026-01-05;10000;;10000;10000;269.25;10269.25;0;0
EOS.O18;SN0000003922;2026-01-05;10000;;10000;10000;142.42;10142.42;0;0
EOS.O19;SN0000003930;2026-01-05;10000;;10000;10000;146.87;10146.87;0;0
EOS.O20;SN0000003948;2026-01-05;9700;;9700;9700;150.21;9850.21;0;0
EOS.O21;SN0000003955;2026-01-05;10700;;10700;10700;154.66;10854.66;0;0
EOS.O22;SN0000004037;2026-01-05;10000;;10000;10000;140.27;10140.27;0;0
EOS.O23;SN0000004045;2026-01-05;10000;;10000;10000;144.66;10144.66;0;0
EOS.O24;SN0000004052;2026-01-05;10000;;10000;10000;147.95;10147.95;0;0
EOS.O25;SN0000004060;2026-01-05;10000;;10000;10000;152.33;10152.33;0;0
EOS.O26;SN0000004268;2026-01-05;10000;;10000;10000;309.57;10309.57;0;0
EOS.O27;SN0000004276;2026-01-05;10000;;10000;10000;319.24;10319.24;0;0
EOS.O28;SN0000004284;2026-01-05;10000;;10000;10000;326.49;10326.49;0;0
EOS.O29;SN0000004292;2026-01-05;10000;;10000;10000;336.17;10336.17;0;0
EOS.O8;SN0000002239;2026-01-05;10000;;10000;10000;631.89;10631.89;0;0
EOS.O9;SN0000002395;2026-01-05;10535;;10535;10535;162.43;10697.43;0;0
FBOAD.O1;TG0000002237;2026-01-05;5500;;5500;5500;96.67;5596.67;0;0
FBOAD.O2;TG0000003128;2026-01-05;7000;;7000;7000;83.81;7083.81;0;0
FDFINBF.O1;BF0000002857;2026-01-05;7500;;7500;7500;62.19;7562.19;0;0
FDFINBF.O2;BF0000003574;2026-01-05;10000;;10000;10000;293.43;10293.43;0;0
FEPTC.O2;CI0000007183;2026-01-05;10000;;10000;10000;75.3;10075.3;0;0
FSNTS.O1;SN0000002965;2026-01-05;10750;;10750;10750;277.91;11027.91;0;0
FSNTS.O2;SN0000002973;2026-01-05;9950;;9950;9950;286.6;10236.6;0;0
NRMC.O1;CI0000008884;2026-01-05;10000;;10000;10000;256.95;10256.95;0;0
ORGT.O2;TG0000001726;2026-01-05;7200;;7200;7200;83.68;7283.68;0;0
PADS.O3;SN0000001454;2026-01-05;4000;;4000;4000;56.57;4056.57;0;0
PTRC.O1;CI0000005948;2026-01-05;12000;;12000;12000;38.45;12038.45;0;0
SCRC.O1;CI0000008637;2026-01-05;10000;;10000;10000;602.13;10602.13;0;0
SNTS.O2;SN0000001371;2026-01-05;3960;;3960;3960;115.84;4075.84;0;0
SUKSN.S2;SN0000000985;2026-01-05;10000;;10000;10000;271.67;10271.67;0;0
SUKTG.S1;TG0000000744;2026-01-05;10300;;10300;10300;289.66;10589.66;0;0
TPBF.O11;BF0000001537;2026-01-05;5002;;5002;5002;185.52;5187.52;0;0
TPBF.O12;BF0000001743;2026-01-05;9990;;9990;9990;183.15;10173.15;0;0
TPBF.O13;BF0000001867;2026-01-05;9998;;9998;9998;323.23;10321.23;0;0
TPBF.O14;BF0000002212;2026-01-05;9699;;9699;9699;219.28;9918.28;0;0
TPBF.O15;BF0000002287;2026-01-05;10000;;10000;10000;88.76;10088.76;0;0
TPBF.O16;BF0000002436;2026-01-05;10000;;10000;10000;291.85;10291.85;0;0
TPBF.O17;BF0000002709;2026-01-05;10000;;10000;10000;147.12;10147.12;0;0
TPBF.O18;BF0000002717;2026-01-05;9940;;9940;9940;151.79;10091.79;0;0
TPBF.O19;BF0000003061;2026-01-05;10000;;10000;10000;104.42;10104.42;0;0
TPBF.O20;BF0000003079;2026-01-05;10000;;10000;10000;108.56;10108.56;0;0
TPBF.O21;BF0000003350;2026-01-05;9999;;9999;9999;68.23;10067.23;0;0
TPBF.O22;BF0000003368;2026-01-05;10000;;10000;10000;71.38;10071.38;0;0
TPBF.O4;BF0000000745;2026-01-05;10750;;10750;10750;141.84;10891.84;0;0
TPBF.O8;BF0000001271;2026-01-05;9700;;9700;9700;106.84;9806.84;0;0
TPBF.O9;BF0000001362;2026-01-05;11500;;11500;11500;158.93;11658.93;0;0
TPBJ.O3;BJ0000001418;2026-01-05;10000;;10000;10000;236.85;10236.85;0;0
TPBJ.O4;BJ0000001665;2026-01-05;10000;;10000;10000;467.12;10467.12;0;0
TPBJ.O5;BJ0000001673;2026-01-05;10000;;10000;10000;496.85;10496.85;0;0
TPBJ.O6;BJ0000001764;2026-01-05;10200;;10200;10200;253.63;10453.63;0;0
TPBJ.O7;BJ0000001947;2026-01-05;10000;;10000;10000;465.37;10465.37;0;0
TPBJ.O8;BJ0000001954;2026-01-05;10000;;10000;10000;506.19;10506.19;0;0
TPCI.O21;CI0000001822;2026-01-05;10000;;10000;10000;447.12;10447.12;0;0
TPCI.O22;CI0000001889;2026-01-05;10000;;10000;10000;329.75;10329.75;0;0
TPCI.O23;CI0000002119;2026-01-05;10000;;10000;10000;79.21;10079.21;0;0
TPCI.O24;CI0000002317;2026-01-05;9700;;9700;9700;117.6;9817.6;0;0
TPCI.O28;CI0000002648;2026-01-05;9200;;9200;9200;258.08;9458.08;0;0
TPCI.O29;CI0000002663;2026-01-05;10000;;10000;10000;257.14;10257.14;0;0
TPCI.O31;CI0000002952;2026-01-05;10230;;10230;10230;313.49;10543.49;0;0
TPCI.O33;;2026-01-05;2080;;2080;2080;92.1;2172.1;0;0
TPCI.O34;CI0000002911;2026-01-05;4900;;4900;4900;239.18;5139.18;0;0
TPCI.O35;CI0000003059;2026-01-05;10000;;10000;10000;280.41;10280.41;0;0
TPCI.O36;CI0000003117;2026-01-05;10000;;10000;10000;215.82;10215.82;0;0
TPCI.O37;CI0000003174;2026-01-05;2050;;2050;2050;10.17;2060.17;0;0
TPCI.O39;CI0000003125;2026-01-05;2000;;2000;2000;25.21;2025.21;0;0
TPCI.O40;CI0000003380;2026-01-05;4000;;4000;4000;226.85;4226.85;0;0
TPCI.O41;CI0000003422;2026-01-05;10000;;10000;10000;494.19;10494.19;0;0
TPCI.O42;CI0000003430;2026-01-05;10000;;10000;10000;502.71;10502.71;0;0
TPCI.O43;CI0000003588;2026-01-05;10000;;10000;10000;415.42;10415.42;0;0
TPCI.O44;CI0000003596;2026-01-05;9800;;9800;9800;408.38;10208.38;0;0
TPCI.O45;CI0000003471;2026-01-05;4000;;4000;4000;129.03;4129.03;0;0
TPCI.O46;CI0000003497;2026-01-05;6375;;6375;6375;205.09;6580.09;0;0
TPCI.O47;CI0000003489;2026-01-05;4100;;4100;4100;129.03;4229.03;0;0
TPCI.O50;CI0000003737;2026-01-05;6250;;6250;6250;131.34;6381.34;0;0
TPCI.O51;CI0000003836;2026-01-05;4000;;4000;4000;60.38;4060.38;0;0
