code;statut;premiereCotation;bocDate
TPCI.O24;cotee;;2026-09-23
TPCI.O29;cotee;;2026-09-23
TPCI.O34;cotee;;2026-09-23
TPCI.O37;cotee;;2026-09-23
TPCI.O38;cotee;;2026-09-23
TPCI.O39;cotee;;2026-09-23
TPCI.O40;cotee;;2026-09-23
TPCI.O41;cotee;;2026-09-23
TPCI.O42;cotee;;2026-09-23
TPCI.O43;cotee;;2026-09-23
TPCI.O44;cotee;;2026-09-23
TPCI.O45;cotee;;2026-09-23
TPCI.O46;cotee;;2026-09-23
TPCI.O47;cotee;;2026-09-23
TPCI.O48;cotee;;2026-09-23
TPCI.O49;cotee;;2026-09-23
TPCI.O50;cotee;;2026-09-23
TPCI.O51;cotee;;2026-09-23
TPCI.O52;cotee;;2026-09-23
TPCI.O53;cotee;;2026-09-23
TPCI.O54;cotee;;2026-09-23
TPCI.O55;cotee;;2026-09-23
TPCI.O56;cotee;;2026-09-23
TPCI.O57;cotee;;2026-09-23
TPCI.O58;cotee;;2026-09-23
TPCI.O59;cotee;;2026-09-23
TPCI.O60;cotee;;2026-09-23
TPCI.O61;cotee;;2026-09-23
TPCI.O62;cotee;;2026-09-23
TPCI.O63;cotee;;2026-09-23
TPCI.O64;cotee;;2026-09-23
TPCI.O65;cotee;;2026-09-23
TPCI.O66;cotee;;2026-09-23
TPCI.O67;cotee;;2026-09-23
TPCI.O68;cotee;;2026-09-23
TPCI.O69;cotee;;2026-09-23
TPCI.O70;cotee;;2026-09-23
TPCI.O71;cotee;;2026-09-23
TPCI.O72;cotee;;2026-09-23
TPCI.O73;cotee;;2026-09-23
TPCI.O74;cotee;;2026-09-23
TPCI.O75;cotee;;2026-09-23
TPCI.O76;cotee;;2026-09-23
TPCI.O77;cotee;;2026-09-23
TPCI.O78;cotee;;2026-09-23
TPCI.O79;cotee;;2026-09-23
TPCI.O80;cotee;;2026-09-23
TPCI.O81;cotee;;2026-09-23
TPCI.O82;cotee;;2026-09-23
TPCI.O83;cotee;;2026-09-23
TPCI.O84;cotee;;2026-09-23
TPCI.O85;cotee;;2026-09-23
TPCI.O86;cotee;;2026-09-23
TPCI.O87;cotee;;2026-09-23
TPCI.O88;cotee;;2026-09-23
TPCI.O89;cotee;;2026-09-23
TPCI.O90;cotee;;2026-09-23
TPCI.O91;cotee;;2026-09-23
TPCI.O92;cotee;;2026-09-23
TPCI.O93;cotee;;2026-09-23
TPCI.O94;cotee;;2026-09-23
TPCI.O95;cotee;;2026-09-23
TPCI.O96;cotee;;2026-09-23
TPCI.O97;cotee;;2026-09-23
TPCI.O98;cotee;;2026-09-23
TPCI.O99;cotee;;2026-09-23
TPNE.O10;cotee;;2026-09-23
TPNE.O3;cotee;;2026-09-23
TPNE.O4;cotee;;2026-09-23
TPNE.O5;cotee;;2026-09-23
TPNE.O6;cotee;;2026-09-23
TPNE.O7;cotee;;2026-09-23
TPNE.O8;cotee;;2026-09-23
TPNE.O9;cotee;;2026-09-23
TPTG.O2;cotee;;2026-09-23
TPTG.O3;cotee;;2026-09-23
TPTG.O4;cotee;;2026-09-23
TPTG.O5;cotee;;2026-09-23
TPTG.O6;cotee;;2026-09-23
TPCI.O103;annoncee;2026-09-25;2026-09-23
TPCI.O104;annoncee;2026-09-25;2026-09-23
