source;transaction;type_bien;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
jiji;achat;;8chbre Manoir dans Riviera Abatta, Cocody à Vendre;450000000;468;961538;8;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/8chbre-manoir-dans-riviera-abatta-cocody-a-vendre-BpYTou7uhB6xjKsFRQ2FEpRq.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;Furnished 6chbre Appartement dans Ismaël Coulibaly, Cocody à Vendre;1000000;300;3333;6;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/furnished-6chbre-appartement-dans-ismael-coulibaly-cocody-a-vendre-tYxExryLw6z4oknaZ1GMNh3A.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Villa dans Zié Multi-Service, Cocody à Vendre;250000000;600;416667;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-villa-dans-zie-multi-service-cocody-a-vendre-8XkdpBVK3pd8ByAc18t7jz8b.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;3chbre Duplex dans Ismaël Coulibaly, Bingerville à Vendre;65000000;150;433333;3;Bingerville;;;https://jiji.co.ci/bingerville/houses-apartments-for-sale/3chbre-duplex-dans-ismael-coulibaly-bingerville-a-vendre-BrtAo7jXWV01OaQY9xe1b9OX.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;4chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;280000000;300;933333;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/4chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-2Isj1OAcCRO7X35eOk3dsNPM.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;2chbre Appartement dans G.F.J Immobilier, Cocody à Vendre;50000000;95;526316;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/2chbre-appartement-dans-g-f-j-immobilier-cocody-a-vendre-psLoKbOxRr8Bqm9rlTPqeNTv.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;Furnished 9chbre Villa dans Zié Multi-Service, Cocody à Vendre;400000000;500;800000;9;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/furnished-9chbre-villa-dans-zie-multi-service-cocody-a-vendre-NKVX0TsjiCdVNJFx3V7iTTF.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;4chbre Blocs d'appartements dans Ismaël Coulibaly, Bingerville à Vendre;42000000;250;168000;4;Bingerville;;;https://jiji.co.ci/bingerville/houses-apartments-for-sale/4chbre-blocs-dappartements-dans-ismael-coulibaly-bingerville-a-vendre-34kF8ZLMjSXSBKt5AttqglvO.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;20chbre Blocs d'appartements dans Zié Multi-Service, Le Plateau;2100000000;2025;1037037;20;Plateau;;;https://jiji.co.ci/le-plateau/houses-apartments-for-sale/20chbre-blocs-dappartements-dans-zie-multi-service-le-plateau-iROnDXrrPbvpIZD2idtrlPsA.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;Furnished 7chbre Duplex dans Zié Multi-Service, Marcory à Vendre;1600000000;865;1849711;7;Marcory;;;https://jiji.co.ci/marcory/houses-apartments-for-sale/furnished-7chbre-duplex-dans-zie-multi-service-marcory-a-vendre-tLq6okxtKxLzZQWWkzPZOvYF.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;6chbre Duplex dans Zié Multi-Service, Bingerville à Vendre;122000000;230;530435;6;Bingerville;;;https://jiji.co.ci/bingerville/houses-apartments-for-sale/6chbre-duplex-dans-zie-multi-service-bingerville-a-vendre-rUEoN4GzE3Kdy9xORkApoOYJ.html;2026-05-02T00:28:16+00:00
