code_poste,libelle_long,libelle_court,categorie,format_etats,ordre,type_valeur
CR_DOTATIONS_AUX_AMORTISSEMENTS_AUX_PROVISI,"Dotations aux amortissements, aux provisions et dépréciations","Dotations aux amortissements, aux provisions et dépréciations",Compte_Resultat,SYSCOHADA,154,Charge
CR_REXP,RESULTAT D'EXPLOITATION,RESULTAT D'EXPLOITATION,Compte_Resultat,SYSCOHADA,155,SIG
CR_REVENUS_FINANCIERS_ET_ASSIMILS,Revenus financiers et assimilés,Revenus financiers et assimilés,Compte_Resultat,SYSCOHADA,156,Produit
CR_REPRISES_DE_PROVISIONS_ET_DPRCIATIONS_FI,Reprises de provisions et dépréciations financières,Reprises de provisions et dépréciations financières,Compte_Resultat,SYSCOHADA,157,Produit
CR_TRANSFERTS_DE_CHARGES_FINANCIRES,Transferts de charges financières,Transferts de charges financières,Compte_Resultat,SYSCOHADA,158,Charge
CR_FRAIS_FINANCIERS_ET_CHARGES_ASSIMILES,Frais financiers et charges assimilées,Frais financiers et charges assimilées,Compte_Resultat,SYSCOHADA,159,Charge
CR_DOTATIONS_AUX_PROVISIONS_ET_AUX_DPRCIATI,Dotations aux provisions et aux dépréciations financières,Dotations aux provisions et aux dépréciations financières,Compte_Resultat,SYSCOHADA,160,Charge
CR_RFIN,RESULTAT FINANCIER,RESULTAT FINANCIER,Compte_Resultat,SYSCOHADA,161,Produit
CR_RESULTAT_DES_ACTIVITES_ORDINAIRES,RESULTAT DES ACTIVITES ORDINAIRES,RESULTAT DES ACTIVITES ORDINAIRES,Compte_Resultat,SYSCOHADA,162,Produit
CR_PRODUITS_DES_CESSIONS_D_IMMOBILISATIONS,Produits des cessions d'immobilisations,Produits des cessions d'immobilisations,Compte_Resultat,SYSCOHADA,163,Produit
CR_AUTRES_PRODUITS_HAO,Autres Produits HAO,Autres Produits HAO,Compte_Resultat,SYSCOHADA,164,Produit
CR_VALEURS_COMPTABLES_DES_CESSIONS_D_IMMOBI,Valeurs comptables des cessions d'immobilisations,Valeurs comptables des cessions d'immobilisations,Compte_Resultat,SYSCOHADA,165,Charge
CR_AUTRES_CHARGES_HAO,Autres Charges HAO,Autres Charges HAO,Compte_Resultat,SYSCOHADA,166,Charge
CR_RHAO,RESULTAT HORS ACTIVITES ORDINAIRES,RESULTAT HORS ACTIVITES ORDINAIRES,Compte_Resultat,SYSCOHADA,167,SIG
CR_PARTICIPATION_DES_TRAVAILLEURS,Participation des travailleurs,Participation des travailleurs,Compte_Resultat,SYSCOHADA,168,Produit
CR_IMPTS_SUR_LE_RSULTAT,Impôts sur le résultat,Impôts sur le résultat,Compte_Resultat,SYSCOHADA,169,Charge
CR_RNET,RESULTAT NET,RESULTAT NET,Compte_Resultat,SYSCOHADA,170,SIG
TFT_SOLDE_OUV,Trésorerie nette au 1er janvier,Solde d'ouverture,Tableau_Flux,SYSCOHADA,173,Detail
TFT_CAFG,Capacité d'Autofinancement Globale,Capacité d'Autofinancement Globale,Tableau_Flux,SYSCOHADA,174,Detail
TFT_VARIATION_D_ACTIF_CIRCULANT_HAO,Variation d'actif circulant HAO,Variation d'actif circulant HAO,Tableau_Flux,SYSCOHADA,175,Detail
TFT_VARIATION_DES_STOCKS,Variation des stocks,Variation des stocks,Tableau_Flux,SYSCOHADA,176,Detail
TFT_VARIATION_DES_CRANCES,Variation des créances,Variation des créances,Tableau_Flux,SYSCOHADA,177,Detail
TFT_VARIATION_DU_PASSIF_CIRCULANT,Variation du passif circulant,Variation du passif circulant,Tableau_Flux,SYSCOHADA,178,Detail
TFT_FTO,Variation du BF lié aux activités opérationnelles,Variation du BF lié aux activités opérationnelles,Tableau_Flux,SYSCOHADA,179,Detail
TFT_FTO,Flux de trésorerie provenant des activités opérationnelles,Flux de trésorerie provenant des activités opérationnelles,Tableau_Flux,SYSCOHADA,180,Detail
TFT_DCAISSEMENTS_LIS_AUX_ACQUISITIONS_D_IMMO,Décaissements liés aux acquisitions d'immobilisations incorporelles,Décaissements liés aux acquisitions d'immobilisations incorporelles,Tableau_Flux,SYSCOHADA,181,Detail
TFT_DCAISSEMENTS_LIS_AUX_ACQUISITIONS_D_IMMO,Décaissements liés aux acquisitions d'immobilisations corporelles,Décaissements liés aux acquisitions d'immobilisations corporelles,Tableau_Flux,SYSCOHADA,182,Detail
TFT_DCAISSEMENTS_LIS_AUX_ACQUISITIONS_D_IMMO,Décaissements liés aux acquisitions d'immobilisations financières,Décaissements liés aux acquisitions d'immobilisations financières,Tableau_Flux,SYSCOHADA,183,Detail
TFT_ENCAISSEMENTS_LIS_AUX_CESSIONS_DIMMOBILI,Encaissements liés aux cessions d’immobilisations incorporelles et corporelles,Encaissements liés aux cessions d’immobilisations incorporelles et corporelles,Tableau_Flux,SYSCOHADA,184,Detail
TFT_ENCAISSEMENTS_LIS_AUX_CESSIONS_DIMMOBILI,Encaissements liés aux cessions d’immobilisations financières,Encaissements liés aux cessions d’immobilisations financières,Tableau_Flux,SYSCOHADA,185,Detail
TFT_FLUX_DE_TRSORERIE_PROVENANT_DES_ACTIVITS,Flux de trésorerie provenant des activités d’investissement,Flux de trésorerie provenant des activités d’investissement,Tableau_Flux,SYSCOHADA,186,Detail
TFT_AUGMENTATIONS_DE_CAPITAL_PAR_APPORTS_NOU,Augmentations de capital par apports nouveaux,Augmentations de capital par apports nouveaux,Tableau_Flux,SYSCOHADA,187,Detail
TFT_SUBVENTIONS_D_INVESTISSEMENT_REUES,Subventions d'investissement reçues,Subventions d'investissement reçues,Tableau_Flux,SYSCOHADA,188,Detail
TFT_PRLVEMENTS_SUR_LE_CAPITAL,Prélèvements sur le capital,Prélèvements sur le capital,Tableau_Flux,SYSCOHADA,189,Detail
TFT_FTCP,Flux de trésorerie provenant des capitaux propres,FTCP,Tableau_Flux,SYSCOHADA,191,Detail
TFT_EMPRUNTS,Emprunts,Emprunts,Tableau_Flux,SYSCOHADA,192,Detail
TFT_AUTRES_DETTES_FINANCIRES_DIVERSES,Autres dettes financières diverses,Autres dettes financières diverses,Tableau_Flux,SYSCOHADA,193,Detail
TFT_REMBOURSEMENTS_DES_EMPRUNTS_ET_AUTRES_DE,Remboursements des emprunts et autres dettes financières,Remboursements des emprunts et autres dettes financières,Tableau_Flux,SYSCOHADA,194,Detail
TFT_FTCE,Flux de trésorerie provenant des capitaux étrangers,Flux de trésorerie provenant des capitaux étrangers,Tableau_Flux,SYSCOHADA,195,Detail
TFT_FTF,Flux de trésorerie provenant des activités de financement,Flux de trésorerie provenant des activités de financement,Tableau_Flux,SYSCOHADA,196,Detail
TFT_VAR_TRES,VARIATION DE LA TRÉSORERIE NETTE DE LA PÉRIODE,VARIATION DE LA TRÉSORERIE NETTE DE LA PÉRIODE,Tableau_Flux,SYSCOHADA,197,Detail
TFT_TRES_NETTE,Trésorerie nette au 31 Décembre,Trésorerie nette au 31 Décembre,Tableau_Flux,SYSCOHADA,198,Detail
BIL_CAISSE_BC,CAISSE BANQUE CENTRALE CCP,CAISSE BANQUE CENTRALE CCP,Bilan_Actif,Bancaire,67,Detail
BIL_A_EFFETS_PUBLICS_ET_VALEURS_ASSIMILEES,EFFETS PUBLICS ET VALEURS ASSIMILEES,EFFETS PUBLICS ET VALEURS ASSIMILEES,Bilan_Actif,Bancaire,68,Detail
BIL_CREANCES_BANC,CREANCES BANCAIRES ET ASSIMILEES,CREANCES BANCAIRES ET ASSIMILEES,Bilan_Actif,Bancaire,69,Detail
BIL_CREANCES_CLIENT,CREANCES SUR LA CLIENTELE,CREANCES SUR LA CLIENTELE,Bilan_Actif,Bancaire,70,Detail
BIL_A_OBLIGATIONS_ET_AUTRES_TITRES_A_REVENU_FI,OBLIGATIONS ET AUTRES TITRES A REVENU FIXE,OBLIGATIONS ET AUTRES TITRES A REVENU FIXE,Bilan_Actif,Bancaire,71,Detail
BIL_A_ACTIONS_ET_AUTRES_TITRES_A_REVENU_VARIAB,ACTIONS ET AUTRES TITRES A REVENU VARIABLE,ACTIONS ET AUTRES TITRES A REVENU VARIABLE,Bilan_Actif,Bancaire,72,Detail
BIL_A_ACTIONNAIRES_OU_ASSOCIES,ACTIONNAIRES OU ASSOCIES,ACTIONNAIRES OU ASSOCIES,Bilan_Actif,Bancaire,73,Detail
BIL_A_AUTRES_ACTIFS,AUTRES ACTIFS,AUTRES ACTIFS,Bilan_Actif,Bancaire,74,Detail
BIL_A_COMPTES_DE_REGULARISATION,COMPTES DE REGULARISATION,COMPTES DE REGULARISATION,Bilan_Actif,Bancaire,75,Detail
BIL_A_PARTICIPATIONS_ET_AUTRES_TITRES_DETENUS_,PARTICIPATIONS ET AUTRES TITRES DETENUS A LT,PARTICIPATIONS ET AUTRES TITRES DETENUS A LT,Bilan_Actif,Bancaire,76,Detail
BIL_A_PARTS_DANS_LES_ENTREPRISES_LIEES,PARTS DANS LES ENTREPRISES LIEES,PARTS DANS LES ENTREPRISES LIEES,Bilan_Actif,Bancaire,77,Detail
BIL_A_PRETS_SUBORDONNES,PRETS SUBORDONNES,PRETS SUBORDONNES,Bilan_Actif,Bancaire,78,Detail
BIL_IMMO_INCORP,IMMOBILISATIONS INCORPORELLES,IMMOBILISATIONS INCORPORELLES,Bilan_Actif,Bancaire,79,Detail
