source;transaction;type_bien;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
coinafrique;location;appartement;Location appartement de haut standing meublé 3 pièces + piscine - Marcory zone 4;1900000;150;12667;3;Marcory;Zone 4;haut;https://ci.coinafrique.com/annonce/appartements/location-appartement-de-haut-standing-meuble-3-pieces-piscine-marcory-zone-4-5857154;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Villa basse 4pieces - Bingerville Anan zone résidentielle livrée clés en main;65000000;250;260000;4;Cocody;;;https://ci.coinafrique.com/annonce/villas/villa-basse-4pieces-bingerville-anan-zone-residentielle-livree-cles-en-main-5882772;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex de 6 pièces à Cocody rivera attoban;2500000;500;5000;6;Cocody;Attoban;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-de-6-pieces-a-cocody-rivera-attoban-5884322;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex  5 pièces  - Cocody riviera bonoumin;750000;300;2500;5;Cocody;Riviera Bonoumin;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-5-pieces-cocody-riviera-bonoumin-5868061;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement  4 pièces - Marcory zone 4;1500000;150;10000;4;Marcory;Zone 4;;https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-marcory-zone-4-5873757;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartements 3 pièces et ascenseur à Angré;410000;200;2050;3;Cocody;Angré;;https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-et-ascenseur-a-angre-5850738;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartements 3 pièces et ascenseur à Angré;410000;200;2050;3;Cocody;Angré;;https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-et-ascenseur-a-angre-5850737;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 4 pièces à Cocody rivera golf non loin de l'ambassade des états-unis au 2ème étage et a 1min du 3eme pont avec vue lagunaire idéal pour bureau comme habitation;800000;200;4000;4;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-a-cocody-rivera-golf-non-loin-de-lambassade-des-etats-unis-au-2eme-etage-et-a-1min-du-3eme-pont-avec-vue-lagunaire-ideal-pour-bureau-comme-habitation-5853785;2026-05-02T00:31:18+00:00
coinafrique;location;maison;Location maisons de vacances 3 pièces - Cocody rivera golf;70000;;;3;Cocody;;;https://ci.coinafrique.com/annonce/maisons-de-vacances/location-maisons-de-vacances-3-pieces-cocody-rivera-golf-5880462;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa basse de 6 pièces  à la riviera attoban;1800000;700;2571;6;Riviera;;;https://ci.coinafrique.com/annonce/villas/location-villa-basse-de-6-pieces-a-la-riviera-attoban-5879057;2026-05-02T00:31:18+00:00
