N°,Gestionnaire,Nom de l'OPC,Type d'OPC,Catégorie,Date,Valeur Liquidative,Actif net
3,CGF GESTION,FCP DJOLOF,FCP,Obligataire (OLMT),2022-12-31,1153.31133555445,479274096
4,CGF GESTION,FCPE SINI GNESIGUI,FCP,Diversifié,2022-12-31,1495.48673786757,479785035
5,CGF GESTION,FCP ASSUR SENEGAL,FCP,Diversifié,2022-12-31,1200954.64825187,1099399161
6,CGF GESTION,FCPE FORCE PAD,FCP,Diversifié,2022-12-31,1797.0558209976,1392235169
7,CGF GESTION,FCPE DP WORLD DAKAR,FCP,Diversifié,2022-12-31,1236.37117799099,1594475108
8,CGF GESTION,FCP ACTIONS PHARMACIE,FCP,Diversifié,2022-12-31,1014.04719938239,1769681297
9,CGF GESTION,FCP RENTE PERPETUELLE,FCP,Diversifié,2022-12-31,1101.97881455404,1560985844
10,CGF GESTION,FCP POSTEFINANCES HORIZON,FCP,Diversifié,2022-12-31,1867.29885328478,2796842241
11,CGF GESTION,FCP AL BARAKA,FCP,Actions ,2022-12-31,1144.45905456066,3272331777
12,CGF GESTION,FCP PLACEMENT AVANTAGE,FCP,Monétaire (OCT),2022-12-31,1551.97028247193,3091330575
13,CGF GESTION,FCP EXPAT,FCP,Obligataire (OLMT),2022-12-31,1134.59680927521,2807295017
14,CGF GESTION,FCP BNDE VALEURS,FCP,Actions ,2022-12-31,1167.42531823409,5670323039
15,CGF GESTION,FCP PLACEMENT CROISSANCE,FCP,Actions ,2022-12-31,1301.33902319037,3896870907
16,CGF GESTION,FCP IFC-BOAD,FCP,Obligataire (OLMT),2022-12-31,127590.29188002,6224259065
17,CGF GESTION,FCP CAPITAL RETRAITE,FCP,Diversifié,2022-12-31,1141.99547849099,5549041479
18,CGF GESTION,FCP AL BARAKA 2,FCP,Diversifié,2022-12-31,1175.06602761379,6278615539
19,CGF GESTION,FCPCR SONATEL,FCPE,Diversifié,2022-12-31,6980.07624491951,16258454029
20,CGF GESTION,FCP LIQUIDITE-OPTIMUM,FCP,Obligataire (OLMT),2022-12-31,12108.1306705674,14448116610
21,CGF GESTION,FCP PLACEMENT QUIETUDE,FCP,Obligataire (OLMT),2022-12-31,1560.45021597693,23243975422
1,EDC ASSET MANAGEMENT,ECOBANK ACTIONS UEMOA,FCP,Actions ,2022-12-31,3724,553305482
2,EDC ASSET MANAGEMENT,ECOBANK OBLIGATAIRE UEMOA,SICAV,Obligataire (OLMT),2022-12-31,20672,193623678188
3,EDC ASSET MANAGEMENT,ECOBANK UEMOA DIVERSIFIE,FCP,Diversifié,2022-12-31,7408,6807843636
4,EDC ASSET MANAGEMENT,ECOBANK UEMOA RENDEMENT,FCP,Diversifié,2022-12-31,1582783,1113438151
1,SAPHIR ASSET MANAGEMENT, SAPHIR QUIETUDE,FCP,Obligataire (OLMT),2023-03-31,6214.04,26383666613
