country;country_label;source;transaction;type_bien;subcategory;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex à louer à SOULEYMANEBOUGOU ACI;900000;;;6;SOULEYMANEBOUGOU ACI;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-louer-a-souleymanebougou-aci-3/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex à louer à l’aci 2000 pour bureau ou habitation;700000;;;10;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-louer-a-laci-2000-pour-bureau-ou-habitation-2/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas duplex;Duplex a vendre à SÉBÉNICORO (CITÉ AIR FRANCE);280000000;300;933333;6;Sebenikoro;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-vendre-a-sebenicoro-cite-air-france/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;terrain;terrains;Chantier inachevé à vendre à Niamana 500 m du guidron;25000000;400;62500;;Niamana;;;https://selogeraumali.com/annonces-immobilieres/chantier-inacheve-a-vendre-a-niamana-500-m-du-guidron/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas duplex;Duplex à vendre avec piscine SEBENICORO;280000000;300;933333;6;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-vendre-avec-piscine-sebenicoro/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas;Villa neuve à vendre Kati centre émetteur;75000000;300;250000;4;Bamako mali;;;https://selogeraumali.com/annonces-immobilieres/villa-neuve-a-vendre-kati-centre-emetteur/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas duplex;Duplex à vendre SAMAYA pierrebougou;130000000;250;520000;3;Bamako mali;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-vendre-samaya-pierrebougou/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas;Location villa meublée Cité Yeleen;750000;;;;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/location-villa-meublee-cite-yeleen/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;terrain;terrains;Vente 2 lots collés SEBENICORO cité Airfrance;55000000;600;91667;;Bamako mali;;;https://selogeraumali.com/annonces-immobilieres/vente-2-lots-colles-sebenicoro-cite-airfrance/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;commercial;entrepots;Location entrepôt Sotuba sotelco;1500000;600;2500;;Bamako mali;;;https://selogeraumali.com/annonces-immobilieres/location-entrepot-sotuba-sotelco/;2026-05-12T17:55:08+00:00
