isin;code;name;issuer;issuerType;country;sector;currency;nominalValue;totalIssued;outstanding;couponRate;couponFrequency;issueDate;maturityDate;firstCouponDate;rating;ratingAgency;callable;callDate;greenBond;description;amortizationType;Titre/Nominal
SN0000003948;EOS.O20;ETAT DU SENEGAL 6,75 % 2025-2032;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;95003360000;95003360000;6.75;2;16/04/2025;16/04/2032;16/04/2027;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,75% sur la periode , emise pour le financement budgetaire.;ACD;N
SN0000003955;EOS.O21;ETAT DU SENEGAL 6,95 % 2025-2035;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;64730070000;64730070000;6.95;2;16/04/2025;16/04/2035;16/10/2027;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,95% sur la periode , emise pour le financement budgetaire.;ACD;N
SN0000004037;EOS.O22;ETAT DU SENEGAL 6,40% 2025-2028;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;67484070000;67484070000;6.40;2;11/07/2025;11/07/2028;16/04/2028;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,40% sur la periode , emise pour le financement budgetaire.;IF;
SN0000004045;EOS.O23;ETAT DU SENEGAL 6,60% 2025-2030;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;84264810000;84264810000;6.60;2;11/07/2025;11/07/2030;11/01/2027;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,60% sur la periode , emise pour le financement budgetaire.;ACD;N
SN0000004052;EOS.O24;ETAT DU SENEGAL 6,75% 2025-2032;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;55000000000;55000000000;6.75;2;11/07/2025;11/07/2032;11/01/2028;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,75% sur la periode 2025-2032, emise pour le financement budgetaire.;ACD;N
SN0000004060;EOS.O25;ETAT DU SENEGAL 6,95% 2025-2035;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;1,57E+11;1,57E+11;6.95;2;11/07/2025;11/07/2035;16/10/2027;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,95% sur la periode 2025-2035, emise pour le financement budgetaire.;ACD;N
SN0000004268;EOS.O26;ETAT DU SENEGAL 6,40% 2025-2028;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;1,22E+11;1,22E+11;6.40;2;17/10/2025;17/10/2028;17/10/2028;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,40% sur la periode 2025-2028, emise pour le financement budgetaire.;IF;
SN0000004276;EOS.O27;ETAT DU SENEGAL 6,60% 2025-2030;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;1,19E+11;1,19E+11;6.60;2;17/10/2025;17/10/2030;17/04/2027;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,60% sur la periode 2025-2030, emise pour le financement budgetaire.;ACD;N
SN0000004284;EOS.O28;ETAT DU SENEGAL 6,75% 2025-2032;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;1,20E+11;1,20E+11;6.75;2;17/10/2025;17/10/2032;17/04/2028;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,75% sur la periode 2025-2032, emise pour le financement budgetaire.;ACD;N
SN0000004292;EOS.O29;ETAT DU SENEGAL 6,95% 2025-2035;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;92978830000;92978830000;6.95;2;17/10/2025;17/10/2035;17/04/2028;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,95% sur la periode 2025-2035, emise pour le financement budgetaire.;ACD;N
SN0000002239;EOS.O8;ETAT DU SENEGAL 5,95% 2022-2034;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;1,50E+11;1,50E+11;5.95;1;29/12/2022;29/12/2034;29/12/2026;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 5,95% sur la periode 2022-2034, emise pour le financement budgetaire.;ACD;N
SN0000002395;EOS.O9;ETAT DU SENEGAL 6,00 % 2023-2028;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;79244870000;39622435000;6.00;2;29/03/2023;29/03/2028;29/09/2024;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,00% sur la periode , emise pour le financement budgetaire.;ACD;T
BF0000001487;TPBF.O10;TPBF 6,50% 2020 - 2028;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;3333;1,40E+11;46666666666.6667;6.50;2;20/03/2020;20/03/2028;20/09/2022;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,50% sur la periode 2020-2028, emise pour le financement budgetaire.;ACD;N
BF0000001537;TPBF.O11;TPBF 6,50 % 2020-2028;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;4169;1,33E+11;60255409090.9091;6.50;2;09/07/2020;09/07/2028;09/07/2023;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,50% sur la periode 2020-2028, emise pour le financement budgetaire.;ACD;N
BF0000001743;TPBF.O12;TPBF 6.50% 2021-2031;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;1,50E+11;91666666666.6667;6.50;2;06/07/2021;06/07/2031;06/01/2023;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,50% sur la periode 2021-2031, emise pour le financement budgetaire.;ACD;T
