code;valeurNominale;bocDate
TPCI.O94;10000;2026-06-05
TPCI.O95;10000;2026-06-05
TPCI.O96;10000;2026-06-05
TPCI.O97;10000;2026-06-05
TPCI.O98;10000;2026-06-05
TPCI.O99;10000;2026-06-05
TPNE.O10;10000;2026-06-05
TPNE.O2;10000;2026-06-05
TPNE.O3;4000;2026-06-05
TPNE.O4;7500;2026-06-05
TPNE.O5;10000;2026-06-05
TPNE.O6;9000;2026-06-05
TPNE.O7;7500;2026-06-05
TPNE.O8;10000;2026-06-05
TPNE.O9;10000;2026-06-05
TPTG.O2;10000;2026-06-05
TPTG.O3;10000;2026-06-05
TPTG.O4;10000;2026-06-05
TPTG.O5;10000;2026-06-05
TPTG.O6;10000;2026-06-05
